;2P;2PA;2P_p;3P;3PA;3P_p;AST;BLK;DRB;FG;FGA;FG_p;FT;FTA;FT_p;G;GS;MP;ORB;PF;PTS;STL;TOV;TRB;eFG_p
Kenny Anderson;4.0;9.2;.436;0.6;1.8;.346;6.1;0.1;2.3;4.7;11.1;.421;2.6;3.3;.790;858;693;30.1;0.8;2.3;12.6;1.5;2.1;3.1;.449
Kenyon Martin;5.0;10.2;.492;0.1;0.4;.234;1.9;1.1;5.1;5.1;10.6;.483;2.0;3.2;.629;757;667;30.6;1.7;3.3;12.3;1.2;1.7;6.8;.487
Kevin Durant;7.4;14.4;.517;1.8;4.7;.380;3.7;1.0;6.2;9.2;19.1;.483;7.2;8.1;.882;641;641;37.8;0.8;1.9;27.4;1.2;3.2;7.0;.530
Kevin Garnett;7.1;14.0;.504;0.1;0.4;.275;3.7;1.4;7.8;7.2;14.5;.497;3.3;4.2;.789;1462;1425;34.5;2.2;2.4;17.8;1.3;2.2;10.0;.501
Kevin Love;4.6;9.7;.478;1.4;4.0;.363;2.4;0.5;8.4;6.1;13.7;.444;4.7;5.8;.815;516;434;32.7;3.2;2.2;18.3;0.7;2.0;11.5;.497
Klay Thompson;4.1;8.7;.472;2.7;6.5;.420;2.3;0.5;2.9;6.8;15.2;.450;2.0;2.4;.853;386;349;32.5;0.4;2.3;18.4;0.9;1.8;3.3;.540
Kobe Bryant;7.3;15.3;.479;1.4;4.1;.329;4.7;0.5;4.1;8.7;19.5;.447;6.2;7.4;.837;1346;1198;36.1;1.1;2.5;25.0;1.4;3.0;5.2;.482
Kyle Korver;1.5;3.2;.460;2.0;4.6;.429;1.8;0.3;2.8;3.4;7.8;.442;1.1;1.3;.879;964;396;26.5;0.3;2.2;10.0;0.7;1.1;3.1;.568
Kyle Lowry;2.9;6.3;.460;1.4;4.1;.356;5.7;0.3;3.2;4.4;10.4;.419;3.3;4.2;.796;653;417;30.3;0.8;2.7;13.5;1.4;2.2;4.0;.489
Kyrie Irving;5.8;12.0;.481;1.8;4.7;.378;5.5;0.3;2.7;7.6;16.7;.452;3.9;4.5;.865;309;309;34.0;0.7;2.2;20.8;1.4;2.8;3.4;.505
