player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Steve Nash;1996 / Round: 1 / Pick: 15th overall;6 ft 3 in (1.91 m);180 lb (82 kg);Canadian;Santa Clara (1992–1996);St. Michaels (Victoria, British Columbia);1996–2015;Point guard;1996 ; Round: 1 ; Pick: 15th overall
Steve Smith;1991 / Round: 1 / Pick: 5th overall;6 ft 8 in (2.03 m);221 lb (100 kg);American;Michigan State (1987–1991);Pershing (Detroit, Michigan);1991–2005;Shooting guard;1991 ; Round: 1 ; Pick: 5th overall
Terrell Brandon;1991 / Round: 1 / Pick: 11th overall;5 ft 11 in (1.80 m);180 lb (82 kg);American;Oregon (1989–1991);Grant (Portland, Oregon);1991–2002;Point guard;1991 ; Round: 1 ; Pick: 11th overall
Terry Cummings;1982 / Round: 1 / Pick: 2nd overall;6 ft 9 in (2.06 m);220 lb (100 kg);American;DePaul (1979–1982);Carver (Chicago, Illinois);1982–2000;Power forward / Center;1982 ; Round: 1 ; Pick: 2nd overall
Terry Dischinger;1962 / Round: 2 / Pick: 8th overall;6 ft 7 in (2.01 m);189 lb (86 kg);American;Purdue (1959–1962);Garfield (Terre Haute, Indiana);1962–1973;Small forward / Guard;1962 ; Round: 2 ; Pick: 8th overall
Terry Porter;1985 / Round: 1 / Pick: 24th overall;6 ft 3 in (1.91 m);195 lb (88 kg);American;Wisconsin–Stevens Point (1981–1985);South Division (Milwaukee, Wisconsin);1985–2002;Point guard;1985 ; Round: 1 ; Pick: 24th overall
Theo Ratliff;1995 / Round: 1 / Pick: 18th overall;6 ft 10 in (2.08 m);235 lb (107 kg);American;Wyoming (1991–1995);Demopolis (Demopolis, Alabama);1995–2011;Center;1995 ; Round: 1 ; Pick: 18th overall
Tim Duncan;1997 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);250 lb (113 kg);American;Wake Forest (1993–1997);St. Dunstan's Episcopal (Saint Croix, U.S. Virgin Islands);1997–present;Power forward / Center;1997 ; Round: 1 ; Pick: 1st overall
Tim Hardaway;1989 / Round: 1 / Pick: 14th overall;6 ft 0 in (1.83 m);175 lb (79 kg);American;UTEP (1985–1989);Carver (Chicago, Illinois);1989–2003;Point guard;1989 ; Round: 1 ; Pick: 14th overall
Tom Chambers;1981 / Round: 1 / Pick: 8th overall;6 ft 10 in (2.08 m);230 lb (104 kg);American;Utah (1977–1981);Fairview (Boulder, Colorado);1981–1997;Power forward / Center;1981 ; Round: 1 ; Pick: 8th overall
Tom Gola;1955 / Pick: Territorial;6 ft 6 in (1.98 m);205 lb (93 kg);American;La Salle (1951–1955);La Salle (Philadelphia, Pennsylvania);1955–1966;Small forward / Guard;1955 ; Pick: Territorial;
Tom Gugliotta;1992 / Round: 1 / Pick: 6th overall;6 ft 10 in (2.08 m);250 lb (113 kg);American;NC State (1988–1992);Walt Whitman (Huntington Station, New York);1992–2005;Power forward;1992 ; Round: 1 ; Pick: 6th overall
Tom Heinsohn;1956 / Pick: Territorial Pick;6 ft 7 in (2.01 m);218 lb (99 kg);American;Holy Cross (1953–1956);Saint Michael's (Union City, New Jersey);1956–1965;Forward / Center;1956 ; Pick: Territorial Pick;
Tom Meschery;1961 / Round: 1 / Pick: 7th overall;6 ft 6 in (1.98 m);215 lb (98 kg);Russian / American;Saint Mary's (1958–1961);Lowell (San Francisco, California);1961–1971;Power forward;1961 ; Round: 1 ; Pick: 7th overall
Tom Van Arsdale;1965 / Round: 2 / Pick: 11th overall;6 ft 5 in (1.96 m);202 lb (92 kg);American;Indiana (1962–1965);Emmerich Manual (Indianapolis, Indiana);1965–1977;Guard / Small forward;1965 ; Round: 2 ; Pick: 11th overall
Tony Parker;2001 / Round: 1 / Pick: 28th overall;6 ft 2 in (1.88 m);185 lb (84 kg);French;;;1999–present;Point guard;2001 ; Round: 1 ; Pick: 28th overall
Tracy McGrady;1997 / Round: 1 / Pick: 9th overall;6 ft 8 in (2.03 m);225 lb (102 kg);American;;Auburndale (Auburndale, Florida) Mount Zion Christian Academy (Durham, North Carolina);1997–2013;Shooting guard / Small forward;1997 ; Round: 1 ; Pick: 9th overall
Truck Robinson;1974 / Round: 2 / Pick: 22nd overall;6 ft 7 in (2.01 m);225 lb (102 kg);American;Tennessee State (1970–1974);William M. Raines (Jacksonville, Florida);1974–1985;Power forward;1974 ; Round: 2 ; Pick: 22nd overall
Tyrone Hill;1990 / Round: 1 / Pick: 11th overall;6 ft 9 in (2.06 m);240 lb (109 kg);American;Xavier (1986–1990);Withrow (Cincinnati, Ohio);1990–2003;Power forward;1990 ; Round: 1 ; Pick: 11th overall
Tyson Chandler;2001 / Round: 1 / Pick: 2nd overall;7 ft 1 in (2.16 m);240 lb (109 kg);American;;Dominguez (Compton, California);2001–present;Center;2001 ; Round: 1 ; Pick: 2nd overall
Vern Mikkelsen;1949 / Pick: Territorial;6 ft 7 in (2.01 m);230 lb (104 kg);American;Hamline (1945–1949);Askov (Askov, Minnesota);1949–1959;Power forward / Small forward;1949 ; Pick: Territorial;
Vin Baker;1993 / Round: 1 / Pick: 8th overall;6 ft 11 in (2.11 m);232 lb (105 kg);American;Hartford (1989–1993);Old Saybrook (Old Saybrook, Connecticut);1993–2006;Point Guard / Center;1993 ; Round: 1 ; Pick: 8th overall
Vince Boryla;;6 ft 5 in (1.96 m);210 lb (95 kg);American;Notre Dame (1944–1946) Denver (1948–1949);Washington (East Chicago, Indiana);1949–1954;Forward;;;
Vince Carter;1998 / Round: 1 / Pick: 5th overall;6 ft 6 in (1.98 m);220 lb (100 kg);American;North Carolina (1995–1998);Mainland (Daytona Beach, Florida);1998–present;Shooting guard / Small forward;1998 ; Round: 1 ; Pick: 5th overall
Vlade Divac;1989 / Round: 1 / Pick: 26th overall;7 ft 1 in (2.16 m);243 lb (110 kg);Serbian;;;1983–2005;Center;1989 ; Round: 1 ; Pick: 26th overall
Wally Szczerbiak;1999 / Round: 1 / Pick: 6th overall;6 ft 7 in (2.01 m);244 lb (111 kg);American;Miami (Ohio) (1995–1999);Cold Spring Harbor (Cold Spring Harbor, New York);1999–2009;Shooting guard / Small forward;1999 ; Round: 1 ; Pick: 6th overall
Walt Bellamy;1961 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);225 lb (102 kg);American;Indiana (1958–1961);J.T. Barber (New Bern, North Carolina);1961–1974;Center;1961 ; Round: 1 ; Pick: 1st overall
Walt Frazier;1967 / Round: 1 / Pick: 5th overall;6 ft 4 in (1.93 m);200 lb (91 kg);American;Southern Illinois (1963–1967);David T. Howard (Atlanta, Georgia);1967–1980;Point guard;1967 ; Round: 1 ; Pick: 5th overall
