player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Ken Sears;1955 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);198 lb (90 kg);American;Santa Clara (1951–1955);Watsonville (Watsonville, California);1955–1964;Power forward, Small forward;1955 ; Round: 1 ; Pick: 4th overall
Kenny Anderson;1991 / Round: 1 / Pick: 2nd overall;6 ft 0 in (1.83 m);168 lb (76 kg);American;Georgia Tech (1989–1991);Archbishop Molloy (New York City, New York);1991–2006;Point guard;1991 ; Round: 1 ; Pick: 2nd overall
Kenyon Martin;2000 / Round: 1 / Pick: 1st overall;6 ft 9 in (2.06 m);225 lb (102 kg);American;Cincinnati (1996–2000);Bryan Adams (Dallas, Texas);2000–2015;Power forward;2000 ; Round: 1 ; Pick: 1st overall
Kermit Washington;1973 / Round: 1 / Pick: 5th overall;6 ft 8 in (2.03 m);230 lb (104 kg);American;American (1970–1973);Coolidge (Washington, D.C.);1973–1987;Power forward;1973 ; Round: 1 ; Pick: 5th overall
Kevin Duckworth;1986 / Round: 2 / Pick: 33rd overall;7 ft 0 in (2.13 m);275 lb (125 kg);American;Eastern Illinois (1982–1986);Thornridge (Dolton, Illinois);1986–1997;Center;1986 ; Round: 2 ; Pick: 33rd overall
Kevin Durant;2007 / Round: 1 / Pick: 2nd overall;6 ft 9 in (2.06 m);240 lb (109 kg);American;Texas (2006–2007);Montrose Christian School (Rockville, Maryland) Oak Hill Academy (Mouth of Wilson, Virginia) National Christian Academy (Fort Washington, Maryland);2007–present;Small forward;2007 ; Round: 1 ; Pick: 2nd overall
Kevin Garnett;1995 / Round: 1 / Pick: 5th overall;6 ft 11 in (2.11 m);240 lb (109 kg);American;;Mauldin (Mauldin, South Carolina) Farragut Academy (Chicago, Illinois);1995–present;Power forward / Center;1995 ; Round: 1 ; Pick: 5th overall
Kevin Johnson;1987 / Round: 1 / Pick: 7th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;California (1983–1987);Sacramento (Sacramento, California);1987–2000;Point guard;1987 ; Round: 1 ; Pick: 7th overall
Kevin Love;2008 / Round: 1 / Pick: 5th overall;6 ft 10 in (2.08 m);251 lb (114 kg);American;UCLA (2007–2008);Lake Oswego (Lake Oswego, Oregon);2008–present;Power forward / Center;2008 ; Round: 1 ; Pick: 5th overall
Kevin McHale;1980 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);210 lb (95 kg);American;Minnesota (1976–1980);Hibbing (Hibbing, Minnesota);1980–1993;Power forward;1980 ; Round: 1 ; Pick: 3rd overall
Kevin Willis;1984 / Round: 1 / Pick: 11th overall;7 ft 0 in (2.13 m);245 lb (111 kg);American;Jackson College (1980–1981) Michigan State (1981–1984);Pershing (Detroit, Michigan);1984–2007;Power forward / Center;1984 ; Round: 1 ; Pick: 11th overall
Kiki Vandeweghe;1980 / Round: 1 / Pick: 11th overall;6 ft 8 in (2.03 m);220 lb (100 kg);American / Canadian;UCLA (1976–1980);Palisades (Los Angeles, California);1980–1993;Small forward;1980 ; Round: 1 ; Pick: 11th overall
Klay Thompson;2011 / Round: 1 / Pick: 11th overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Washington State (2008–2011);Santa Margarita Catholic (Rancho Santa Margarita, California);2011–present;Shooting guard;2011 ; Round: 1 ; Pick: 11th overall
Kobe Bryant;1996 / Round: 1 / Pick: 13th overall;6 ft 6 in (1.98 m)[a];212 lb (96 kg);American;;Lower Merion (Ardmore, Pennsylvania);1996–present;Shooting guard / Small forward;1996 ; Round: 1 ; Pick: 13th overall
Kyle Korver;2003 / Round: 2 / Pick: 51st overall;6 ft 7 in (2.01 m);212 lb (96 kg);American;Creighton (1999–2003);Pella (Pella, Iowa);2003–present;Shooting guard / Small forward;2003 ; Round: 2 ; Pick: 51st overall
Kyle Lowry;2006 / Round: 1 / Pick: 24th overall;6 ft 0 in (1.83 m);205 lb (93 kg);American;Villanova (2004–2006);Cardinal Dougherty (Philadelphia, Pennsylvania);2006–present;Point guard;2006 ; Round: 1 ; Pick: 24th overall
Kyrie Irving;2011 / Round: 1 / Pick: 1st overall;6 ft 3 in (1.91 m);193 lb (88 kg);American;Duke (2010–2011);Montclair Kimberley Academy (Montclair, New Jersey) St. Patrick (Elizabeth, New Jersey);2011–present;Point guard;2011 ; Round: 1 ; Pick: 1st overall
LaMarcus Aldridge;2006 / Round: 1 / Pick: 2nd overall;6 ft 11 in (2.11 m);240 lb (109 kg);American;Texas (2004–2006);Seagoville (Dallas, Texas);2006–present;Power forward / Center;2006 ; Round: 1 ; Pick: 2nd overall
Larry Bird;1978 / Round: 1 / Pick: 6th overall;6 ft 9 in (2.06 m);220 lb (100 kg);American;Indiana State (1976–1979);Springs Valley (French Lick, Indiana);1979–1992;Forward;1978 ; Round: 1 ; Pick: 6th overall
Larry Costello;1954 / Round: 2 / Pick: 12th overall;6 ft 1 in (1.85 m);186 lb (84 kg);American;Niagara (1951–1954);Minoa (Minoa, New York);1954–1968;Point guard;1954 ; Round: 2 ; Pick: 12th overall
Larry Foust;1950 / Round: 1 / Pick: 5th overall;6 ft 9 in (2.06 m);215 lb (98 kg);American;La Salle (1946–1950);South Catholic (Philadelphia, Pennsylvania);1950–1962;Power forward / Center;1950 ; Round: 1 ; Pick: 5th overall
Larry Johnson;1991 / Round: 1 / Pick: 1st overall;6 ft 6 in (1.98 m);250 lb (113 kg);American;Odessa College (1987–1989) UNLV (1989–1991);Skyline (Dallas, Texas);1991–2001;Power forward;1991 ; Round: 1 ; Pick: 1st overall
Larry Kenon;1973 / Round: 3 / Pick: 50th overall;6 ft 9 in (2.06 m);205 lb (93 kg);American;Amarillo JC (1970–1972) Memphis (1972–1973);Ullman (Birmingham, Alabama);1973–1983;Power forward;1973 ; Round: 3 ; Pick: 50th overall
Larry Nance;1981 / Round: 1 / Pick: 20th overall;6 ft 10 in (2.08 m);205 lb (93 kg);American;Clemson (1977–1981);McDuffie (Anderson, South Carolina);1981–1994;Forward;1981 ; Round: 1 ; Pick: 20th overall
Latrell Sprewell;1992 / Round: 1 / Pick: 24th overall;6 ft 5 in (1.96 m);195 lb (88 kg);American;Three Rivers CC (1988–1990) Alabama (1990–1992);Washington (Milwaukee, Wisconsin);1992–2005;Shooting guard / Small forward;1992 ; Round: 1 ; Pick: 24th overall
LeBron James;2003 / Round: 1 / Pick: 1st overall;6 ft 8 in (2.03 m);250 lb (113 kg);American;;St. Vincent–St. Mary (Akron, Ohio);2003–present;Small forward / Power forward;2003 ; Round: 1 ; Pick: 1st overall
Lee Shaffer;1960 / Round: 1 / Pick: 5th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;North Carolina (1957–1960);Baldwin (Pittsburgh, Pennsylvania);1961–1964;Small forward;1960 ; Round: 1 ; Pick: 5th overall
Len Chappell;1962 / Round: 1 / Pick: 4th overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Wake Forest (1959–1962);Portage (Portage, Pennsylvania);1962–1972;Power forward / Center;1962 ; Round: 1 ; Pick: 4th overall
Lenny Wilkens;1960 / Round: 1 / Pick: 6th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;Providence (1957–1960);Boys (Brooklyn, New York);1960–1975;Point guard;1960 ; Round: 1 ; Pick: 6th overall
Leo Barnhorst;1949 / Round: 2;6 ft 4 in (1.93 m);190 lb (86 kg);American;Notre Dame (1946–1949);Cathedral (Indianapolis, Indiana);1949–1954;Small forward;1949 ; Round: 2;
Lionel Hollins;1975 / Round: 1 / Pick: 6th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Dixie State (1971–1973) Arizona State (1973–1975);Rancho (North Las Vegas, Nevada);1975–1985;Point guard;1975 ; Round: 1 ; Pick: 6th overall
Lonnie Shelton;1976 / Round: 2 / Pick: 25th overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Oregon State (1973–1976);Foothill (Bakersfield, California);1976–1986;Power forward / Center;1976 ; Round: 2 ; Pick: 25th overall
Lou Hudson;1966 / Round: 1 / Pick: 4th overall;6 ft 5 in (1.96 m);210 lb (95 kg);American;Minnesota (1963–1966);James B. Dudley (Greensboro, North Carolina);1966–1979;Shooting guard / Small forward;1966 ; Round: 1 ; Pick: 4th overall
Lucious Jackson;1964 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);240 lb (109 kg);American;Texas Southern (1960–1961) Texas–Pan American (1961–1964);Morehouse (Bastrop, Louisiana);1964–1972;Power forward / Center;1964 ; Round: 1 ; Pick: 4th overall
Luol Deng;2004 / Round: 1 / Pick: 7th overall;6 ft 9 in (2.06 m);220 lb (100 kg);Sudanese / British;Duke (2003–2004);Blair Academy (Blairstown, New Jersey);2004–present;Small forward;2004 ; Round: 1 ; Pick: 7th overall
Magic Johnson;1979 / Round: 1 / Pick: 1st overall;6 ft 9 in (2.06 m);220 lb (100 kg)[1];American;Michigan State (1977–1979);Everett (Lansing, Michigan);1979–1996;Point guard;1979 ; Round: 1 ; Pick: 1st overall
Manu Ginobili;1999 / Round: 2 / Pick: 57th overall;6 ft 6 in (1.98 m);205 lb (93 kg);Argentine / Italian[1][2];;;1995–present;Shooting guard;1999 ; Round: 2 ; Pick: 57th overall
Marc Gasol;2007 / Round: 2 / Pick: 48th overall;7 ft 1 in (2.16 m);265 lb (120 kg);Spanish;;Lausanne Collegiate School (Memphis, Tennessee);2003–present;Center;2007 ; Round: 2 ; Pick: 48th overall
Mark Aguirre;1981 / Round: 1 / Pick: 1st overall;6 ft 6 in (1.98 m);232 lb (105 kg);American;DePaul (1978–1981);Westinghouse (Chicago, Illinois);1981–1994;Small forward;1981 ; Round: 1 ; Pick: 1st overall
Mark Eaton;1982 / Round: 4 / Pick: 72nd overall;7 ft 4 in (2.24 m);290 lb (132 kg);American;Cypress JC (1978–1980) UCLA (1980–1982);Westminster (Westminster, California);1982–1993;Center;1982 ; Round: 4 ; Pick: 72nd overall
Mark Jackson;1987 / Round: 1 / Pick: 18th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;St. John's (1983–1987);Bishop Loughlin (Brooklyn, New York);1987–2004;Point guard;1987 ; Round: 1 ; Pick: 18th overall
Mark Price;1986 / Round: 2 / Pick: 25th overall;6 ft 0 in (1.83 m);170 lb (77 kg);American;Georgia Tech (1982–1986);Enid (Enid, Oklahoma);1986–1998;Point guard;1986 ; Round: 2 ; Pick: 25th overall
Marques Johnson;1977 / Round: 1 / Pick: 3rd overall;6 ft 7 in (2.01 m);218 lb (99 kg);American;UCLA (1973–1977);Crenshaw (Los Angeles, California);1977–1989;Small forward;1977 ; Round: 1 ; Pick: 3rd overall
Maurice Cheeks;1978 / Round: 2 / Pick: 36th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;West Texas A&M (1974–1978);DuSable (Chicago, Illinois);1978–1993;Point guard;1978 ; Round: 2 ; Pick: 36th overall
Maurice Lucas;1974 / Round: 1 / Pick: 14th overall;6 ft 9 in (2.06 m);215 lb (98 kg);American;Marquette (1972–1974);Schenley (Pittsburgh, Pennsylvania);1974–1988;Power forward;1974 ; Round: 1 ; Pick: 14th overall
Maurice Stokes;1955 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);232 lb (105 kg);American;Saint Francis (PA) (1951–1955);Westinghouse (Pittsburgh, Pennsylvania);1955–1958;Power forward / Center;1955 ; Round: 1 ; Pick: 2nd overall
Max Zaslofsky;;6 ft 2 in (1.88 m);170 lb (77 kg);American;St. John's (1945–1946);Thomas Jefferson (Brooklyn, New York);1946–1956;Shooting guard;;;
Mehmet Okur;2001 / Round: 2 / Pick: 37th overall;6 ft 11 in (2.11 m);249 lb (113 kg);Turkish;;;1997–2013;Center / Power forward;2001 ; Round: 2 ; Pick: 37th overall
Mel Hutchins;1951 / Round: 1 / Pick: 2nd overall;6 ft 6 in (1.98 m);200 lb (91 kg);American;BYU (1947–1951);Arcadia (Arcadia, California);1951–1958;Power forward / Center;1951 ; Round: 1 ; Pick: 2nd overall
Metta World Peace;1999 / Round: 1 / Pick: 16th overall;6 ft 7 in (2.01 m);260 lb (118 kg);American;St. John's (1997–1999);La Salle Academy (New York City, New York);1999–present;Small forward;1999 ; Round: 1 ; Pick: 16th overall
Michael Adams;1985 / Round: 3 / Pick: 66th overall;5 ft 10 in (1.78 m);162 lb (73 kg);American;Boston College (1981–1985);Hartford Public (Hartford, Connecticut);1985–1996;Point guard;1985 ; Round: 3 ; Pick: 66th overall
Michael Finley;1995 / Round: 1 / Pick: 21st overall;6 ft 7 in (2.01 m);225 lb (102 kg);American;Wisconsin (1991–1995);Proviso East (Maywood, Illinois);1995–2010;Shooting guard / Small forward;1995 ; Round: 1 ; Pick: 21st overall
Michael Jordan;1984 / Round: 1 / Pick: 3rd overall;6 ft 6 in (1.98 m);216 lb (98 kg);American;North Carolina (1981–1984);Emsley A. Laney (Wilmington, North Carolina);1984–1993, 1995–1998, 2001–2003;Shooting guard;1984 ; Round: 1 ; Pick: 3rd overall
Michael Redd;2000 / Round: 2 / Pick: 43rd overall;6 ft 6 in (1.98 m);215 lb (98 kg);American;Ohio State (1997–2000);West (Columbus, Ohio);2000–2012;Shooting guard;2000 ; Round: 2 ; Pick: 43rd overall
Micheal Ray Richardson;1978 / Round: 1 / Pick: 4th overall;6 ft 5 in (1.96 m);189 lb (86 kg);American;Montana (1974–1978);Manual (Denver, Colorado);1978–2002;Point guard / Shooting guard;1978 ; Round: 1 ; Pick: 4th overall
Mike Mitchell;1978 / Round: 1 / Pick: 15th overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Auburn (1974–1978);Luther Judson Price (Atlanta, Georgia);1978–1999;Small forward;1978 ; Round: 1 ; Pick: 15th overall
Mitch Richmond;1988 / Round: 1 / Pick: 5th overall;6 ft 5 in (1.96 m);215 lb (98 kg);American;Moberly Area CC (1984–1986) Kansas State (1986–1988);Boyd Anderson (Lauderdale Lakes, Florida);1988–2002;Shooting guard;1988 ; Round: 1 ; Pick: 5th overall
Mo Williams;2003 / Round: 2 / Pick: 47th overall;6 ft 1 in (1.85 m);198 lb (90 kg);American;Alabama (2001–2003);Murrah (Jackson, Mississippi);2003–present;Point guard, shooting guard;2003 ; Round: 2 ; Pick: 47th overall
Mookie Blaylock;1989 / Round: 1 / Pick: 12th overall;6 ft 0 in (1.83 m);180 lb (82 kg);American;Midland College (1985–1987) Oklahoma (1987–1989);Garland (Garland, Texas);1989–2002;Point guard;1989 ; Round: 1 ; Pick: 12th overall
